file_name,subset,content_type,width,height,resolution,quality,aspect_ratio,image_mode,format,source_tag,competition,region,split
BBL(11).jpg,grounds,broadcast,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,train
BBL(110).jpg,grounds,broadcast,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,validation
BBL(1100).jpg,grounds,broadcast,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,train
BBL(1101).jpg,grounds,broadcast,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,test
BBL(1102).jpg,grounds,broadcast,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,train
BBL(1103).jpg,grounds,broadcast,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,train
BBL(1104).jpg,grounds,broadcast,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,train
BBL(1105).jpg,grounds,broadcast,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,train
BBL(1106).jpg,grounds,broadcast,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,train
BBL(1107).jpg,grounds,broadcast,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,train
BBL(1108).jpg,grounds,broadcast,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,train
BBL(1109).jpg,grounds,broadcast,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,train
BBL(111).jpg,grounds,broadcast,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,test
BBL(1110).jpg,grounds,broadcast,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,test
BBL(1111).jpg,grounds,broadcast,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,validation
BBL(1112).jpg,grounds,broadcast,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,train
BBL(1113).jpg,grounds,broadcast,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,validation
BBL(1114).jpg,grounds,broadcast,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,train
BBL(1115).jpg,grounds,broadcast,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,train
BBL(1116).jpg,grounds,broadcast,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,validation
BBL(1117).jpg,grounds,broadcast,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,train
BBL(1118).jpg,grounds,broadcast,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,train
BBL(1119).jpg,grounds,broadcast,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,validation
BBL(112).jpg,grounds,broadcast,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,train
BBL(1120).jpg,grounds,broadcast,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,train
BBL(1121).jpg,grounds,broadcast,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,train
BBL(1122).jpg,grounds,broadcast,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,train
BBL(1123).jpg,grounds,broadcast,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,train
BBL(1124).jpg,grounds,broadcast,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,train
